,segment,计数
26071,小贤有,105
27790,广州,105
50914,简直,104
56935,西藏,104
27725,幼稚,104
30957,意外,104
64113,随意,104
181,14,104
17957,同意,104
21582,多次,104
44281,火车,104
48111,相爱,104
53553,聪明,104
9304,休息,104
22816,失望,104
50088,穿着,103
13626,分开,103
25785,小心,103
28884,往往,103
470,21,103
57850,诗歌,103
20429,在读,103
37487,暑假,103
24949,宣言,103
46870,电脑,103
36349,无数,103
57205,角落,103
14163,到处,103
9798,位置,103
24713,定居,103
29106,很难,102
2767,一半,102
23805,委屈,102
48861,矫情,102
59580,路过,101
2552,一丝,101
48347,看法,101
52845,羽毛球,101
26419,尽量,101
57216,解决,101
32711,技术,101
24330,学期,101
24793,实习,101
12516,再见,100
19515,喜爱,100
40504,正式,100
41780,沟通,100
57984,语言,100
10521,信任,100
44944,熬夜,100
50747,答案,100
43433,清晨,100
31016,感兴趣,100
28066,建筑,99
40813,段时间,99
51881,细腻,99
35060,放下,99
60089,轻轻,99
33038,抱怨,99
48032,相同,99
21443,多久,99
17189,只不过,99
12696,农村,99
60756,这座,99
35248,敏感,98
51937,终究,98
57493,训练营,98
28064,建立,98
49327,社团,98
50863,简信,98
31549,我妈,98
37704,更新,98
48002,相亲,98
60358,过得,97
219,16,97
62401,醒来,97
9351,优点,97
15766,南京,97
8777,从不,97
28172,开朗,97
31609,我怕,97
51691,纯粹,97
46947,男孩子,97
14174,到来,97
42554,活着,97
2837,一块,97
27143,帅气,97
43232,深圳,96
3572,一部分,96
11276,充实,96
51028,篮球,96
59198,起床,96
16629,发呆,96
53089,老板,96
15476,半个,96
4238,上学,95
31567,我家,95
59169,赶紧,95
46290,理性,95
58067,说实话,95
23976,媒体,95
40303,欢喜,95
8658,人间,95
42323,注册,95
2786,一口,95
32029,所有人,95
46919,男友,94
39085,来看,94
9670,估计,94
30889,想过,94
38146,有意思,94
32527,执着,94
63075,锻炼,94
30048,思维,94
37831,最初,94
34853,操场,94
25318,对不起,94
51065,类型,94
14917,包括,94
41545,江南,94
40243,樱花,94
33100,抽烟,94
35397,散步,94
22100,大海,94
5347,不见,93
5367,不让,93
37077,星星,93
24373,学长,93
36969,明星,93
48592,眼前,93
52720,美的,93
6618,主页,93
34330,提升,93
59759,身材,93
30566,情人节,93
16329,厨艺,93
12837,冲动,92
15126,医院,92
30513,悲伤,92
53678,肩膀,92
14724,动漫,92
28187,开玩笑,92
8087,交往,92
66679,麻烦,92
18632,告白,92
41578,江湖,92
36038,方便,91
60908,进去,91
64212,难以,91
37485,暂时,91
27517,平淡,91
59717,身份,91
10989,做过,91
11215,儿子,91
18733,周边,91
58124,说起,91
9072,以下,90
